year_added,type,count
2010,movie,999
2010,tv show,905
2011,movie,999
2011,tv show,925
2012,movie,996
2012,tv show,930
2013,movie,999
2013,tv show,928
2014,movie,999
2014,tv show,941
2015,movie,999
2015,tv show,936
2016,movie,997
2016,tv show,934
2017,movie,995
2017,tv show,960
2018,movie,998
2018,tv show,943
2019,movie,995
2019,tv show,951
2020,movie,997
2020,tv show,944
2021,movie,997
2021,tv show,956
2022,movie,997
2022,tv show,968
2023,movie,998
2023,tv show,972
2024,movie,993
2024,tv show,970
2025,movie,934
2025,tv show,861
